"20180702_22"^*"20180702"^*"3"^*"M"^*"2018-10-31 00:00:00"^*"0"^*""^*"0"^*""^*"CNY"^*"2018-11-03 00:00:00"^*"2018-10-31 00:00:00"^*"FIX"^*""^*""^*""^*""^*"8765700"^*"A/360"^*""^*"8765700"^*""^*"0"^*"0"^*"BR"^*"91827359013413"^*""^*"87657"^*"5"^*"0"^*"00"^*"BOND"^*"DEF"^*"DEF"^*
"20180702_21"^*"20180702"^*"1"^*"P"^*"2018-11-16 00:00:00"^*"876543567"^*""^*"-77809288425"^*"78685831992"^*"CNY"^*"2018-11-03 00:00:00"^*"2018-11-16 00:00:00"^*"FIX"^*""^*""^*""^*""^*"78685831992"^*"A/360"^*""^*"8765700"^*"8765700"^*"15826.958"^*"0"^*"BR"^*"91827359013413"^*"BOND-18000046"^*""^*"5"^*"1"^*"00"^*"BOND"^*"DEF"^*"DEF"^*
"20180702_23"^*"20180702"^*"2"^*"P"^*"2018-11-21 00:00:00"^*"10000000"^*""^*"-1990000000"^*"2000000000"^*"CNY"^*"2018-11-03 00:00:00"^*"2018-11-21 00:00:00"^*"FIX"^*""^*""^*""^*""^*"2000000000"^*"A/360"^*""^*"2000000"^*"2000000"^*"5000"^*"0"^*"BR"^*"91827359013413"^*"BOND-18000061"^*""^*"5"^*"1"^*"00"^*"BOND"^*"DEF"^*"DEF"^*
"BONDSZ76524_103"^*"BONDSZ76524"^*"2"^*"P"^*"2019-01-23 00:00:00"^*"33333333333"^*""^*"22223334444"^*"11109998889"^*"HKD"^*"2019-01-21 00:00:00"^*"2019-01-23 00:00:00"^*"FIX"^*""^*""^*""^*""^*"11109998889"^*"A/360"^*""^*"2547598548"^*"2547598548"^*"10756527.203"^*"0"^*"BR"^*"91827359013413"^*"BOND-19000102"^*""^*"76"^*"1"^*"00"^*"BOND"^*"01"^*"01"^*
"BONDSZ76524_102"^*"BONDSZ76524"^*"3"^*"M"^*"2018-11-27 00:00:00"^*"0"^*""^*"0"^*""^*"HKD"^*"2019-02-21 00:00:00"^*"2018-11-27 00:00:00"^*"FIX"^*""^*""^*""^*""^*"84843516"^*"A/360"^*""^*"84843516"^*""^*"0"^*"0"^*"BR"^*"91827359013413"^*""^*"111"^*"76"^*"0"^*"00"^*"BOND"^*"01"^*"01"^*
"BONDSZ76524_101"^*"BONDSZ76524"^*"1"^*"P"^*"2019-02-22 00:00:00"^*"1366666632"^*""^*"1366652979"^*"13653"^*"HKD"^*"2019-02-21 00:00:00"^*"2019-02-22 00:00:00"^*"FIX"^*""^*""^*""^*""^*"13653"^*"A/360"^*""^*"84843516"^*"84843516"^*"179114.089"^*"0"^*"BR"^*"91827359013413"^*"BOND-19000143"^*""^*"76"^*"1"^*"00"^*"BOND"^*"01"^*"01"^*
"ZQ95135241_43"^*"ZQ95135241"^*"3"^*"M"^*"2019-02-06 00:00:00"^*"100350"^*""^*"350"^*"100000"^*"CNY"^*"2019-01-16 00:00:00"^*"2019-02-06 00:00:00"^*"FIX"^*""^*""^*""^*""^*"100000"^*"A/360"^*""^*"100000"^*"100000"^*"350"^*"0"^*"BR"^*"91827359013413"^*""^*"1000"^*"6"^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"ZQ95135241_42"^*"ZQ95135241"^*"2"^*"I"^*"2019-01-16 00:00:00"^*"16.667"^*""^*"16.667"^*"0"^*"CNY"^*"2019-01-15 00:00:00"^*"2019-01-16 00:00:00"^*"FIX"^*""^*""^*""^*""^*"100000"^*"A/360"^*""^*"100000"^*"0"^*"16.667"^*"0"^*"BR"^*"91827359013413"^*""^*"1000"^*"6"^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"ZQ95135241_41"^*"ZQ95135241"^*"1"^*"S"^*"2019-01-15 00:00:00"^*"100000"^*""^*"-49900000"^*"50000000"^*"CNY"^*"2019-01-15 00:00:00"^*"2019-01-15 00:00:00"^*"FIX"^*""^*""^*""^*""^*"50000000"^*"A/360"^*""^*"100000"^*"100000"^*"0"^*"0"^*"BR"^*"91827359013413"^*"BND_ISSUE-19000086"^*""^*"6"^*"1"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"ZQFX0226_105"^*"ZQFX0226"^*"2"^*"M"^*"2019-03-01 00:00:00"^*"166.667"^*""^*"166.667"^*""^*"CNY"^*"2019-02-26 00:00:00"^*"2019-03-01 00:00:00"^*"FIX"^*""^*""^*""^*""^*"1000000"^*"A/360"^*""^*"1000000"^*""^*"166.667"^*"0"^*"BR"^*"91827359013413"^*""^*"10000"^*"2"^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"ZQFX0226_104"^*"ZQFX0226"^*"1"^*"S"^*"2019-02-26 00:00:00"^*"1000000"^*""^*"0"^*"1000000"^*"CNY"^*"2019-02-26 00:00:00"^*"2019-02-26 00:00:00"^*"FIX"^*""^*""^*""^*""^*"1000000"^*"A/360"^*""^*"1000000"^*"1000000"^*"0"^*"0"^*"BR"^*"91827359013413"^*"BND_ISSUE-19000145"^*""^*"2"^*"1"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"zqfx_86"^*"zqfx"^*"4"^*"M"^*"2019-05-13 00:00:00"^*"2005000"^*""^*"5000"^*"2000000"^*"CNY"^*"2019-04-13 00:00:00"^*"2019-05-13 00:00:00"^*"FIX"^*""^*""^*""^*""^*"2000000"^*"A/360"^*""^*"2000000"^*"2000000"^*"5000"^*"0"^*"BR"^*"91827359013413"^*""^*"20000"^*"3"^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"zqfx_85"^*"zqfx"^*"3"^*"I"^*"2019-04-13 00:00:00"^*"5166.667"^*""^*"5166.667"^*"0"^*"CNY"^*"2019-03-13 00:00:00"^*"2019-04-13 00:00:00"^*"FIX"^*""^*""^*""^*""^*"2000000"^*"A/360"^*""^*"2000000"^*"0"^*"5166.667"^*"0"^*"BR"^*"91827359013413"^*""^*"20000"^*"3"^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"zqfx_84"^*"zqfx"^*"2"^*"I"^*"2019-02-13 00:00:00"^*"4000000"^*""^*"4000000"^*"0"^*"CNY"^*"2019-02-13 00:00:00"^*"2019-03-13 00:00:00"^*"FIX"^*""^*""^*""^*""^*"2000000"^*"A/360"^*""^*"2000000"^*"0"^*"4666.667"^*"1"^*"BR"^*"91827359013413"^*"2019INT000003"^*"20000"^*"3"^*"1"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"zqfx_83"^*"zqfx"^*"1"^*"S"^*"2019-02-13 00:00:00"^*"2000000"^*""^*"-399998000000"^*"400000000000"^*"CNY"^*"2019-02-13 00:00:00"^*"2019-02-13 00:00:00"^*"FIX"^*""^*""^*""^*""^*"400000000000"^*"A/360"^*""^*"2000000"^*"2000000"^*"0"^*"0"^*"BR"^*"91827359013413"^*"BND_ISSUE-19000122"^*""^*"3"^*"1"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"000301_82"^*"000301"^*"2"^*"M"^*"2018-08-10 00:00:00"^*"0"^*""^*"0"^*""^*"CNY"^*"2019-02-10 00:00:00"^*"2018-08-10 00:00:00"^*"FIX"^*""^*""^*""^*""^*"10000000"^*"A/360"^*""^*"10000000"^*""^*"0"^*"0"^*"BR"^*"91827359013413"^*""^*"100000"^*"12"^*"0"^*"00"^*"BOND"^*"03"^*"05"^*
"000301_81"^*"000301"^*"1"^*"P"^*"2019-02-13 00:00:00"^*"10000000"^*""^*"-990000000"^*"1000000000"^*"CNY"^*"2019-02-10 00:00:00"^*"2019-02-13 00:00:00"^*"FIX"^*""^*""^*""^*""^*"1000000000"^*"A/360"^*""^*"10000000"^*"10000000"^*"10000"^*"0"^*"BR"^*"91827359013413"^*"BOND-19000121"^*""^*"12"^*"1"^*"00"^*"BOND"^*"03"^*"05"^*
"123123_132"^*"123123"^*"5"^*"M"^*"2019-06-19 00:00:00"^*"31460228.8"^*""^*"229028.8"^*"31231200"^*"CNY"^*"2019-05-28 00:00:00"^*"2019-06-19 00:00:00"^*"FIX"^*""^*""^*""^*""^*"31231200"^*"A/360"^*""^*"31231200"^*"31231200"^*"229028.8"^*"1"^*"BR"^*"91827359013413"^*""^*"312312"^*"12"^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"123123_131"^*"123123"^*"4"^*"I"^*"2019-05-28 00:00:00"^*"312312"^*""^*"312312"^*"0"^*"CNY"^*"2019-04-28 00:00:00"^*"2019-05-28 00:00:00"^*"FIX"^*""^*""^*""^*""^*"31231200"^*"A/360"^*""^*"31231200"^*"0"^*"312312"^*"1"^*"BR"^*"91827359013413"^*""^*"312312"^*"12"^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"123123_130"^*"123123"^*"3"^*"I"^*"2019-04-28 00:00:00"^*"322722.4"^*""^*"322722.4"^*"0"^*"CNY"^*"2019-03-28 00:00:00"^*"2019-04-28 00:00:00"^*"FIX"^*""^*""^*""^*""^*"31231200"^*"A/360"^*""^*"31231200"^*"0"^*"322722.4"^*"1"^*"BR"^*"91827359013413"^*""^*"312312"^*"12"^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"123123_129"^*"123123"^*"2"^*"I"^*"2019-03-28 00:00:00"^*"281080.8"^*""^*"281080.8"^*"0"^*"CNY"^*"2019-03-01 00:00:00"^*"2019-03-28 00:00:00"^*"FIX"^*""^*""^*""^*""^*"31231200"^*"A/360"^*""^*"31231200"^*"0"^*"281080.8"^*"1"^*"BR"^*"91827359013413"^*""^*"312312"^*"12"^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"123123_128"^*"123123"^*"1"^*"S"^*"2019-03-01 00:00:00"^*"31231200"^*""^*"-100293064872"^*"100324296072"^*"CNY"^*"2019-03-01 00:00:00"^*"2019-03-01 00:00:00"^*"FIX"^*""^*""^*""^*""^*"100324296072"^*"A/360"^*""^*"31231200"^*"31231200"^*"0"^*"0"^*"BR"^*"91827359013413"^*"BND_ISSUE-19000156"^*""^*"5"^*"1"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"18234891234_127"^*"18234891234"^*"5"^*"M"^*"2020-01-31 00:00:00"^*"2299905.833"^*""^*"41405.833"^*"2258500"^*"CNY"^*"2019-11-26 00:00:00"^*"2020-01-31 00:00:00"^*"FIX"^*""^*""^*""^*""^*"2258500"^*"A/360"^*""^*"2258500"^*"2258500"^*"41405.833"^*"0"^*"BR"^*"123123"^*""^*"22585"^*"10"^*"0"^*"00"^*"BOND"^*"01"^*"01"^*
"18234891234_126"^*"18234891234"^*"4"^*"RP"^*"2019-11-30 00:00:00"^*"6673506.778"^*""^*"7406.778"^*"6666100"^*"CNY"^*"2019-05-31 00:00:00"^*"2019-11-30 00:00:00"^*"FIX"^*""^*""^*""^*""^*"6666100"^*"A/360"^*""^*"6666100"^*"6666100"^*"7406.778"^*"0"^*"BR"^*"123123"^*""^*"22585"^*"10"^*"0"^*"00"^*"BOND"^*"01"^*"01"^*
"18234891234_123"^*"18234891234"^*"3"^*"RP"^*"2019-05-31 00:00:00"^*"3392405.139"^*""^*"4705.139"^*"3387700"^*"CNY"^*"2019-02-27 00:00:00"^*"2019-05-31 00:00:00"^*"FIX"^*""^*""^*""^*""^*"3387700"^*"A/360"^*""^*"3387700"^*"3387700"^*"4705.139"^*"0"^*"BR"^*"123123"^*""^*"89246"^*"10"^*"0"^*"00"^*"BOND"^*"01"^*"01"^*
"18234891234_122"^*"18234891234"^*"2"^*"I"^*"2019-03-01 00:00:00"^*"1312312"^*""^*"1312312"^*"0"^*"CNY"^*"2019-02-26 00:00:00"^*"2019-05-26 00:00:00"^*"FIX"^*""^*""^*""^*""^*"12312300"^*"A/360"^*""^*"12312300"^*"0"^*"760533.639"^*"1"^*"BR"^*"123123"^*"2019INT000004"^*"123123"^*"10"^*"1"^*"00"^*"BOND"^*"01"^*"01"^*
"18234891234_121"^*"18234891234"^*"1"^*"P"^*"2019-02-27 00:00:00"^*"-56195184045"^*""^*"-49466388972"^*"-6728795073"^*"CNY"^*"2019-02-26 00:00:00"^*"2019-02-27 00:00:00"^*"FIX"^*""^*""^*""^*""^*"-6728795073"^*"A/360"^*""^*"12312300"^*"12312300"^*"3420.083"^*"0"^*"BR"^*"123123"^*"BOND-19000151"^*""^*"10"^*"1"^*"00"^*"BOND"^*"01"^*"01"^*
"18234891234_14"^*"18234891234"^*"2"^*"P"^*"2018-05-25 00:00:00"^*"100010"^*""^*"90010"^*"10000"^*"CNY"^*"2018-05-25 00:00:00"^*"2018-05-25 00:00:00"^*"FIX"^*""^*""^*""^*""^*"10000"^*"A/360"^*""^*"10000"^*"10000"^*"0"^*"0"^*"BR"^*"91827359013413"^*"20180525000003"^*""^*"10"^*"1"^*"00"^*"BOND"^*""^*""^*
"18234891234_13"^*"18234891234"^*"8"^*"M"^*"2020-01-31 00:00:00"^*"1425.667"^*""^*"25.667"^*"1400"^*"CNY"^*"2019-11-26 00:00:00"^*"2020-01-31 00:00:00"^*"FIX"^*""^*""^*""^*""^*"1400"^*"A/360"^*""^*"1400"^*"1400"^*"25.667"^*"1"^*"BR"^*"91827359013413"^*""^*"14"^*"10"^*"0"^*"00"^*"BOND"^*""^*""^*
"18234891234_12"^*"18234891234"^*"7"^*"RP"^*"2019-11-30 00:00:00"^*"3203.556"^*""^*"3.556"^*"3200"^*"CNY"^*"2019-11-26 00:00:00"^*"2019-11-30 00:00:00"^*"FIX"^*""^*""^*""^*""^*"3200"^*"A/360"^*""^*"3200"^*"3200"^*"3.556"^*"1"^*"BR"^*"91827359013413"^*""^*"14"^*"10"^*"0"^*"00"^*"BOND"^*""^*""^*
"18234891234_9"^*"18234891234"^*"6"^*"RP"^*"2019-05-31 00:00:00"^*"3204.444"^*""^*"4.444"^*"3200"^*"CNY"^*"2019-05-26 00:00:00"^*"2019-05-31 00:00:00"^*"FIX"^*""^*""^*""^*""^*"3200"^*"A/360"^*""^*"3200"^*"3200"^*"4.444"^*"1"^*"BR"^*"91827359013413"^*""^*"46"^*"10"^*"0"^*"00"^*"BOND"^*""^*""^*
"18234891234_6"^*"18234891234"^*"5"^*"RP"^*"2018-11-30 00:00:00"^*"3203.556"^*""^*"3.556"^*"3200"^*"CNY"^*"2018-11-26 00:00:00"^*"2018-11-30 00:00:00"^*"FIX"^*""^*""^*""^*""^*"3200"^*"A/360"^*""^*"3200"^*"3200"^*"3.556"^*"1"^*"BR"^*"91827359013413"^*""^*"78"^*"10"^*"0"^*"00"^*"BOND"^*""^*""^*
"18234891234_3"^*"18234891234"^*"4"^*"RP"^*"2018-05-31 00:00:00"^*"100.139"^*""^*"0.139"^*"100"^*"CNY"^*"2018-05-26 00:00:00"^*"2018-05-31 00:00:00"^*"FIX"^*""^*""^*""^*""^*"100"^*"A/360"^*""^*"100"^*"100"^*"0.139"^*"1"^*"BR"^*"91827359013413"^*""^*"110"^*"10"^*"0"^*"00"^*"BOND"^*""^*""^*
"18234891234_2"^*"18234891234"^*"3"^*"I"^*"2018-05-25 00:00:00"^*"10000"^*""^*"10000"^*"0"^*"CNY"^*"2018-05-25 00:00:00"^*"2018-05-26 00:00:00"^*"FIX"^*""^*""^*""^*""^*"11100"^*"A/360"^*""^*"11100"^*"0"^*"1192.583"^*"2"^*"BR"^*"91827359013413"^*"2018001"^*"111"^*"10"^*"1"^*"00"^*"BOND"^*""^*""^*
"18234891234_1"^*"18234891234"^*"1"^*"P"^*"2018-05-25 00:00:00"^*"11"^*""^*"0"^*"11"^*"CNY"^*"2018-05-25 00:00:00"^*"2018-05-25 00:00:00"^*"FIX"^*""^*""^*""^*""^*"11"^*"A/360"^*""^*"1100"^*"1100"^*"0"^*"0"^*"BR"^*"91827359013413"^*"20180525000004"^*""^*"10"^*"1"^*"00"^*"BOND"^*""^*""^*
"20180702_22"^*"20180702"^*"3"^*"M"^*"2018-10-31 00:00:00"^*"0"^*""^*"0"^*""^*"CNY"^*"2018-11-03 00:00:00"^*"2018-10-31 00:00:00"^*"FIX"^*""^*""^*""^*""^*"8765700"^*"A/360"^*""^*"8765700"^*""^*"0"^*"0"^*"BR"^*"91827359013413"^*""^*"87657"^*"5"^*"0"^*"00"^*"BOND"^*"DEF"^*"DEF"^*
"20180702_21"^*"20180702"^*"1"^*"P"^*"2018-11-16 00:00:00"^*"876543567"^*""^*"-77809288425"^*"78685831992"^*"CNY"^*"2018-11-03 00:00:00"^*"2018-11-16 00:00:00"^*"FIX"^*""^*""^*""^*""^*"78685831992"^*"A/360"^*""^*"8765700"^*"8765700"^*"15826.958"^*"0"^*"BR"^*"91827359013413"^*"BOND-18000046"^*""^*"5"^*"1"^*"00"^*"BOND"^*"DEF"^*"DEF"^*
"20180702_23"^*"20180702"^*"2"^*"P"^*"2018-11-21 00:00:00"^*"10000000"^*""^*"-1990000000"^*"2000000000"^*"CNY"^*"2018-11-03 00:00:00"^*"2018-11-21 00:00:00"^*"FIX"^*""^*""^*""^*""^*"2000000000"^*"A/360"^*""^*"2000000"^*"2000000"^*"5000"^*"0"^*"BR"^*"91827359013413"^*"BOND-18000061"^*""^*"5"^*"1"^*"00"^*"BOND"^*"DEF"^*"DEF"^*
"BONDSZ76524_103"^*"BONDSZ76524"^*"2"^*"P"^*"2019-01-23 00:00:00"^*"33333333333"^*""^*"22223334444"^*"11109998889"^*"HKD"^*"2019-01-21 00:00:00"^*"2019-01-23 00:00:00"^*"FIX"^*""^*""^*""^*""^*"11109998889"^*"A/360"^*""^*"2547598548"^*"2547598548"^*"10756527.203"^*"0"^*"BR"^*"91827359013413"^*"BOND-19000102"^*""^*"76"^*"1"^*"00"^*"BOND"^*"01"^*"01"^*
"BONDSZ76524_102"^*"BONDSZ76524"^*"3"^*"M"^*"2018-11-27 00:00:00"^*"0"^*""^*"0"^*""^*"HKD"^*"2019-02-21 00:00:00"^*"2018-11-27 00:00:00"^*"FIX"^*""^*""^*""^*""^*"84843516"^*"A/360"^*""^*"84843516"^*""^*"0"^*"0"^*"BR"^*"91827359013413"^*""^*"111"^*"76"^*"0"^*"00"^*"BOND"^*"01"^*"01"^*
"BONDSZ76524_101"^*"BONDSZ76524"^*"1"^*"P"^*"2019-02-22 00:00:00"^*"1366666632"^*""^*"1366652979"^*"13653"^*"HKD"^*"2019-02-21 00:00:00"^*"2019-02-22 00:00:00"^*"FIX"^*""^*""^*""^*""^*"13653"^*"A/360"^*""^*"84843516"^*"84843516"^*"179114.089"^*"0"^*"BR"^*"91827359013413"^*"BOND-19000143"^*""^*"76"^*"1"^*"00"^*"BOND"^*"01"^*"01"^*
"ZQ95135241_43"^*"ZQ95135241"^*"3"^*"M"^*"2019-02-06 00:00:00"^*"100350"^*""^*"350"^*"100000"^*"CNY"^*"2019-01-16 00:00:00"^*"2019-02-06 00:00:00"^*"FIX"^*""^*""^*""^*""^*"100000"^*"A/360"^*""^*"100000"^*"100000"^*"350"^*"0"^*"BR"^*"91827359013413"^*""^*"1000"^*"6"^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"ZQ95135241_42"^*"ZQ95135241"^*"2"^*"I"^*"2019-01-16 00:00:00"^*"16.667"^*""^*"16.667"^*"0"^*"CNY"^*"2019-01-15 00:00:00"^*"2019-01-16 00:00:00"^*"FIX"^*""^*""^*""^*""^*"100000"^*"A/360"^*""^*"100000"^*"0"^*"16.667"^*"0"^*"BR"^*"91827359013413"^*""^*"1000"^*"6"^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"ZQ95135241_41"^*"ZQ95135241"^*"1"^*"S"^*"2019-01-15 00:00:00"^*"100000"^*""^*"-49900000"^*"50000000"^*"CNY"^*"2019-01-15 00:00:00"^*"2019-01-15 00:00:00"^*"FIX"^*""^*""^*""^*""^*"50000000"^*"A/360"^*""^*"100000"^*"100000"^*"0"^*"0"^*"BR"^*"91827359013413"^*"BND_ISSUE-19000086"^*""^*"6"^*"1"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"ZQFX0226_105"^*"ZQFX0226"^*"2"^*"M"^*"2019-03-01 00:00:00"^*"166.667"^*""^*"166.667"^*""^*"CNY"^*"2019-02-26 00:00:00"^*"2019-03-01 00:00:00"^*"FIX"^*""^*""^*""^*""^*"1000000"^*"A/360"^*""^*"1000000"^*""^*"166.667"^*"0"^*"BR"^*"91827359013413"^*""^*"10000"^*"2"^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"ZQFX0226_104"^*"ZQFX0226"^*"1"^*"S"^*"2019-02-26 00:00:00"^*"1000000"^*""^*"0"^*"1000000"^*"CNY"^*"2019-02-26 00:00:00"^*"2019-02-26 00:00:00"^*"FIX"^*""^*""^*""^*""^*"1000000"^*"A/360"^*""^*"1000000"^*"1000000"^*"0"^*"0"^*"BR"^*"91827359013413"^*"BND_ISSUE-19000145"^*""^*"2"^*"1"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"zqfx_86"^*"zqfx"^*"4"^*"M"^*"2019-05-13 00:00:00"^*"2005000"^*""^*"5000"^*"2000000"^*"CNY"^*"2019-04-13 00:00:00"^*"2019-05-13 00:00:00"^*"FIX"^*""^*""^*""^*""^*"2000000"^*"A/360"^*""^*"2000000"^*"2000000"^*"5000"^*"0"^*"BR"^*"91827359013413"^*""^*"20000"^*"3"^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"zqfx_85"^*"zqfx"^*"3"^*"I"^*"2019-04-13 00:00:00"^*"5166.667"^*""^*"5166.667"^*"0"^*"CNY"^*"2019-03-13 00:00:00"^*"2019-04-13 00:00:00"^*"FIX"^*""^*""^*""^*""^*"2000000"^*"A/360"^*""^*"2000000"^*"0"^*"5166.667"^*"0"^*"BR"^*"91827359013413"^*""^*"20000"^*"3"^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"zqfx_84"^*"zqfx"^*"2"^*"I"^*"2019-02-13 00:00:00"^*"4000000"^*""^*"4000000"^*"0"^*"CNY"^*"2019-02-13 00:00:00"^*"2019-03-13 00:00:00"^*"FIX"^*""^*""^*""^*""^*"2000000"^*"A/360"^*""^*"2000000"^*"0"^*"4666.667"^*"1"^*"BR"^*"91827359013413"^*"2019INT000003"^*"20000"^*"3"^*"1"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"zqfx_83"^*"zqfx"^*"1"^*"S"^*"2019-02-13 00:00:00"^*"2000000"^*""^*"-399998000000"^*"400000000000"^*"CNY"^*"2019-02-13 00:00:00"^*"2019-02-13 00:00:00"^*"FIX"^*""^*""^*""^*""^*"400000000000"^*"A/360"^*""^*"2000000"^*"2000000"^*"0"^*"0"^*"BR"^*"91827359013413"^*"BND_ISSUE-19000122"^*""^*"3"^*"1"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*
"000301_82"^*"000301"^*"2"^*"M"^*"2018-08-10 00:00:00"^*"0"^*""^*"0"^*""^*"CNY"^*"2019-02-10 00:00:00"^*"2018-08-10 00:00:00"^*"FIX"^*""^*""^*""^*""^*"10000000"^*"A/360"^*""^*"10000000"^*""^*"0"^*"0"^*"BR"^*"91827359013413"^*""^*"100000"^*"12"^*"0"^*"00"^*"BOND"^*"03"^*"05"^*
